area_id,centroid_x,centroid_y,crime_count
35,1179003.7146051468,1883317.3478258073,85070
36,1183252.4657469783,1879210.3935520067,18108
37,1175334.896725607,1873799.9673749614,25025
38,1179293.9300989718,1875240.8957496388,105922
39,1185215.7152495903,1873821.3589570147,45108
4,1159860.137089553,1934204.1330181102,54942
40,1179336.8364875505,1867737.225510901,80167
41,1186318.0364974132,1868427.9125587565,50430
42,1185652.6763233524,1862878.1135765524,121398
1,1164480.3670969477,1946794.6658478852,118442
11,1137104.9560430117,1935376.9598655892,30547
12,1140551.95479361,1940902.8186030814,14265
13,1150030.6522368554,1937217.0784950166,25904
14,1150621.491422269,1931548.2057546456,68583
15,1139277.1379005318,1926353.022610638,96600
16,1150144.1735739347,1926265.4662503854,85600
17,1127700.6737139402,1923539.8756414857,47333
18,1129912.8614435624,1917280.5174140923,18310
19,1138769.8261094554,1916595.390082971,139830
2,1157749.8280517957,1943809.189041452,98502
20,1147148.2658771966,1915590.506238743,45769
21,1153513.5391738585,1920853.995915648,70483
22,1156836.3469266074,1915082.0084118515,157654
23,1150972.7668141976,1906770.342059686,236366
24,1163101.1946640266,1907274.5603450881,224106
25,1139501.4455203577,1904515.317302641,470592
26,1148492.0800920937,1898926.8208310378,142250
27,1155118.4720060378,1899090.9879511695,141345
28,1166673.6370903612,1897389.3366012694,235622
29,1152083.8689112775,1892245.4895438715,221769
3,1168489.7751756336,1930860.1225962283,113015
30,1153015.4749217809,1884561.8899471175,128128
31,1165637.2199076533,1888730.3063228142,75938
33,1178485.438118167,1891354.3372206932,60267
34,1174814.7645357142,1885818.5583101348,29126
10,1128312.2524238112,1937657.1844246434,33502
8,1174825.1205699488,1906782.4280028404,272404
32,1177096.9672659107,1899244.1743320609,193492
43,1191748.143530457,1856627.1394431274,251264
44,1180030.3224386035,1848738.0951337416,168430
45,1188101.853103473,1850262.1723165894,38714
46,1197641.3941914532,1849269.397799384,139263
47,1185388.0780622198,1844401.7278814055,11289
59,1164350.1650247623,1881306.622101333,30908
6,1168519.473651409,1922994.077535171,156633
48,1191868.593139188,1845002.6713110155,41677
49,1178112.5798496811,1836471.3544372986,200719
5,1160936.58458251,1924234.5553939813,44801
50,1184970.746915072,1836360.4899814639,30960
51,1192720.4756234041,1830782.2232708456,50722
52,1202266.0613786809,1836946.5777759908,37857
53,1174830.6278669012,1824503.5080535645,123565
54,1183858.98899117,1819591.7650869673,34508
55,1199233.7154282685,1819872.1287698066,17253
56,1139429.1895410677,1868834.425853946,63229
57,1149720.1452195724,1874259.0310946703,27658
58,1157200.3733474382,1876677.085333102,73067
60,1170795.2226652165,1883626.6359742072,48618
61,1168044.5029453787,1873717.5265209724,151764
62,1150353.88820166,1867741.5986535647,29379
63,1157920.791905841,1868688.7831583412,69605
64,1138304.9116959611,1862776.6159634923,30527
65,1149671.3394004735,1859281.0512146184,56052
66,1158194.1827721328,1860097.1885204061,183798
67,1166112.494391112,1861644.157359324,213266
68,1172682.1108629822,1862157.8824890652,196040
69,1179915.415523343,1857133.6761266873,189705
7,1170352.9929011667,1915158.7952642099,118682
70,1154799.0756806124,1850564.5073838087,69250
71,1169010.3149361743,1850106.2480561812,214803
72,1163974.6939294208,1838749.8368157928,27728
73,1171110.1595550596,1840388.6295198626,90824
74,1153615.4194916761,1832015.3475791754,17050
75,1165684.4159703245,1830228.9771308429,60613
76,1103795.0892087778,1934035.936059137,46737
77,1166380.2824219316,1938460.0065355555,77885
9,1125454.3090479926,1945792.4921583226,7631
