area_id,centroid_x,centroid_y,time_bin,crime_count,year,month
1,1164480.3670969477,1946794.6658478852,2001-01-01,701,2001,1
2,1157749.8280517957,1943809.189041452,2001-01-01,457,2001,1
3,1168489.7751756336,1930860.1225962283,2001-01-01,687,2001,1
4,1159860.137089553,1934204.1330181102,2001-01-01,282,2001,1
5,1160936.58458251,1924234.5553939813,2001-01-01,283,2001,1
6,1168519.473651409,1922994.077535171,2001-01-01,637,2001,1
7,1170352.9929011667,1915158.7952642099,2001-01-01,689,2001,1
8,1174825.1205699488,1906782.4280028404,2001-01-01,1403,2001,1
9,1125454.3090479926,1945792.4921583226,2001-01-01,36,2001,1
10,1128312.2524238112,1937657.1844246434,2001-01-01,128,2001,1
11,1137104.9560430117,1935376.9598655892,2001-01-01,135,2001,1
12,1140551.95479361,1940902.8186030814,2001-01-01,60,2001,1
13,1150030.6522368554,1937217.0784950166,2001-01-01,134,2001,1
14,1150621.491422269,1931548.2057546456,2001-01-01,349,2001,1
15,1139277.1379005318,1926353.022610638,2001-01-01,548,2001,1
16,1150144.1735739347,1926265.4662503854,2001-01-01,470,2001,1
17,1127700.6737139402,1923539.8756414857,2001-01-01,225,2001,1
18,1129912.8614435624,1917280.5174140923,2001-01-01,82,2001,1
19,1138769.8261094554,1916595.390082971,2001-01-01,641,2001,1
20,1147148.2658771966,1915590.506238743,2001-01-01,266,2001,1
21,1153513.5391738585,1920853.995915648,2001-01-01,395,2001,1
22,1156836.3469266074,1915082.0084118515,2001-01-01,1036,2001,1
23,1150972.7668141976,1906770.342059686,2001-01-01,1080,2001,1
24,1163101.1946640266,1907274.5603450881,2001-01-01,1223,2001,1
25,1139501.4455203577,1904515.317302641,2001-01-01,2301,2001,1
26,1148492.0800920937,1898926.8208310378,2001-01-01,529,2001,1
27,1155118.4720060378,1899090.9879511695,2001-01-01,608,2001,1
28,1166673.6370903612,1897389.3366012694,2001-01-01,1303,2001,1
29,1152083.8689112775,1892245.4895438715,2001-01-01,932,2001,1
30,1153015.4749217809,1884561.8899471175,2001-01-01,577,2001,1
31,1165637.2199076533,1888730.3063228142,2001-01-01,390,2001,1
32,1177096.9672659107,1899244.1743320609,2001-01-01,977,2001,1
33,1178485.438118167,1891354.3372206932,2001-01-01,340,2001,1
34,1174814.7645357142,1885818.5583101348,2001-01-01,160,2001,1
35,1179003.7146051468,1883317.3478258073,2001-01-01,924,2001,1
36,1183252.4657469783,1879210.3935520067,2001-01-01,132,2001,1
37,1175334.896725607,1873799.9673749614,2001-01-01,163,2001,1
38,1179293.9300989718,1875240.8957496388,2001-01-01,792,2001,1
39,1185215.7152495903,1873821.3589570147,2001-01-01,231,2001,1
40,1179336.8364875505,1867737.225510901,2001-01-01,443,2001,1
41,1186318.0364974132,1868427.9125587565,2001-01-01,281,2001,1
42,1185652.6763233524,1862878.1135765524,2001-01-01,596,2001,1
43,1191748.143530457,1856627.1394431274,2001-01-01,1119,2001,1
44,1180030.3224386035,1848738.0951337416,2001-01-01,798,2001,1
45,1188101.853103473,1850262.1723165894,2001-01-01,177,2001,1
46,1197641.3941914532,1849269.397799384,2001-01-01,646,2001,1
47,1185388.0780622198,1844401.7278814055,2001-01-01,49,2001,1
48,1191868.593139188,1845002.6713110155,2001-01-01,163,2001,1
49,1178112.5798496811,1836471.3544372986,2001-01-01,915,2001,1
50,1184970.746915072,1836360.4899814639,2001-01-01,116,2001,1
51,1192720.4756234041,1830782.2232708456,2001-01-01,216,2001,1
52,1202266.0613786809,1836946.5777759908,2001-01-01,170,2001,1
53,1174830.6278669012,1824503.5080535645,2001-01-01,465,2001,1
54,1183858.98899117,1819591.7650869673,2001-01-01,170,2001,1
55,1199233.7154282685,1819872.1287698066,2001-01-01,74,2001,1
56,1139429.1895410677,1868834.425853946,2001-01-01,370,2001,1
57,1149720.1452195724,1874259.0310946703,2001-01-01,132,2001,1
58,1157200.3733474382,1876677.085333102,2001-01-01,390,2001,1
59,1164350.1650247623,1881306.622101333,2001-01-01,153,2001,1
60,1170795.2226652165,1883626.6359742072,2001-01-01,260,2001,1
61,1168044.5029453787,1873717.5265209724,2001-01-01,796,2001,1
62,1150353.88820166,1867741.5986535647,2001-01-01,86,2001,1
63,1157920.791905841,1868688.7831583412,2001-01-01,349,2001,1
64,1138304.9116959611,1862776.6159634923,2001-01-01,145,2001,1
65,1149671.3394004735,1859281.0512146184,2001-01-01,271,2001,1
66,1158194.1827721328,1860097.1885204061,2001-01-01,842,2001,1
67,1166112.494391112,1861644.157359324,2001-01-01,852,2001,1
68,1172682.1108629822,1862157.8824890652,2001-01-01,917,2001,1
69,1179915.415523343,1857133.6761266873,2001-01-01,847,2001,1
70,1154799.0756806124,1850564.5073838087,2001-01-01,304,2001,1
71,1169010.3149361743,1850106.2480561812,2001-01-01,889,2001,1
72,1163974.6939294208,1838749.8368157928,2001-01-01,137,2001,1
73,1171110.1595550596,1840388.6295198626,2001-01-01,375,2001,1
74,1153615.4194916761,1832015.3475791754,2001-01-01,105,2001,1
75,1165684.4159703245,1830228.9771308429,2001-01-01,284,2001,1
76,1103795.0892087778,1934035.936059137,2001-01-01,229,2001,1
77,1166380.2824219316,1938460.0065355555,2001-01-01,411,2001,1
1,1164480.3670969477,1946794.6658478852,2001-02-01,604,2001,2
2,1157749.8280517957,1943809.189041452,2001-02-01,397,2001,2
3,1168489.7751756336,1930860.1225962283,2001-02-01,686,2001,2
4,1159860.137089553,1934204.1330181102,2001-02-01,260,2001,2
5,1160936.58458251,1924234.5553939813,2001-02-01,261,2001,2
6,1168519.473651409,1922994.077535171,2001-02-01,630,2001,2
7,1170352.9929011667,1915158.7952642099,2001-02-01,513,2001,2
8,1174825.1205699488,1906782.4280028404,2001-02-01,1213,2001,2
9,1125454.3090479926,1945792.4921583226,2001-02-01,31,2001,2
10,1128312.2524238112,1937657.1844246434,2001-02-01,127,2001,2
11,1137104.9560430117,1935376.9598655892,2001-02-01,109,2001,2
12,1140551.95479361,1940902.8186030814,2001-02-01,44,2001,2
13,1150030.6522368554,1937217.0784950166,2001-02-01,113,2001,2
14,1150621.491422269,1931548.2057546456,2001-02-01,307,2001,2
15,1139277.1379005318,1926353.022610638,2001-02-01,468,2001,2
16,1150144.1735739347,1926265.4662503854,2001-02-01,403,2001,2
17,1127700.6737139402,1923539.8756414857,2001-02-01,186,2001,2
18,1129912.8614435624,1917280.5174140923,2001-02-01,110,2001,2
19,1138769.8261094554,1916595.390082971,2001-02-01,585,2001,2
20,1147148.2658771966,1915590.506238743,2001-02-01,228,2001,2
21,1153513.5391738585,1920853.995915648,2001-02-01,323,2001,2
22,1156836.3469266074,1915082.0084118515,2001-02-01,911,2001,2
23,1150972.7668141976,1906770.342059686,2001-02-01,1086,2001,2
24,1163101.1946640266,1907274.5603450881,2001-02-01,1082,2001,2
25,1139501.4455203577,1904515.317302641,2001-02-01,2009,2001,2
26,1148492.0800920937,1898926.8208310378,2001-02-01,483,2001,2
27,1155118.4720060378,1899090.9879511695,2001-02-01,561,2001,2
28,1166673.6370903612,1897389.3366012694,2001-02-01,1068,2001,2
29,1152083.8689112775,1892245.4895438715,2001-02-01,896,2001,2
30,1153015.4749217809,1884561.8899471175,2001-02-01,562,2001,2
31,1165637.2199076533,1888730.3063228142,2001-02-01,364,2001,2
32,1177096.9672659107,1899244.1743320609,2001-02-01,831,2001,2
33,1178485.438118167,1891354.3372206932,2001-02-01,267,2001,2
34,1174814.7645357142,1885818.5583101348,2001-02-01,136,2001,2
35,1179003.7146051468,1883317.3478258073,2001-02-01,667,2001,2
36,1183252.4657469783,1879210.3935520067,2001-02-01,136,2001,2
37,1175334.896725607,1873799.9673749614,2001-02-01,118,2001,2
38,1179293.9300989718,1875240.8957496388,2001-02-01,725,2001,2
39,1185215.7152495903,1873821.3589570147,2001-02-01,199,2001,2
40,1179336.8364875505,1867737.225510901,2001-02-01,375,2001,2
41,1186318.0364974132,1868427.9125587565,2001-02-01,253,2001,2
42,1185652.6763233524,1862878.1135765524,2001-02-01,573,2001,2
43,1191748.143530457,1856627.1394431274,2001-02-01,1010,2001,2
44,1180030.3224386035,1848738.0951337416,2001-02-01,687,2001,2
45,1188101.853103473,1850262.1723165894,2001-02-01,124,2001,2
46,1197641.3941914532,1849269.397799384,2001-02-01,532,2001,2
47,1185388.0780622198,1844401.7278814055,2001-02-01,37,2001,2
48,1191868.593139188,1845002.6713110155,2001-02-01,137,2001,2
49,1178112.5798496811,1836471.3544372986,2001-02-01,787,2001,2
50,1184970.746915072,1836360.4899814639,2001-02-01,97,2001,2
51,1192720.4756234041,1830782.2232708456,2001-02-01,178,2001,2
52,1202266.0613786809,1836946.5777759908,2001-02-01,172,2001,2
53,1174830.6278669012,1824503.5080535645,2001-02-01,454,2001,2
54,1183858.98899117,1819591.7650869673,2001-02-01,206,2001,2
55,1199233.7154282685,1819872.1287698066,2001-02-01,58,2001,2
56,1139429.1895410677,1868834.425853946,2001-02-01,300,2001,2
57,1149720.1452195724,1874259.0310946703,2001-02-01,137,2001,2
58,1157200.3733474382,1876677.085333102,2001-02-01,352,2001,2
59,1164350.1650247623,1881306.622101333,2001-02-01,150,2001,2
60,1170795.2226652165,1883626.6359742072,2001-02-01,219,2001,2
61,1168044.5029453787,1873717.5265209724,2001-02-01,704,2001,2
62,1150353.88820166,1867741.5986535647,2001-02-01,107,2001,2
63,1157920.791905841,1868688.7831583412,2001-02-01,344,2001,2
64,1138304.9116959611,1862776.6159634923,2001-02-01,130,2001,2
65,1149671.3394004735,1859281.0512146184,2001-02-01,267,2001,2
66,1158194.1827721328,1860097.1885204061,2001-02-01,699,2001,2
67,1166112.494391112,1861644.157359324,2001-02-01,812,2001,2
68,1172682.1108629822,1862157.8824890652,2001-02-01,834,2001,2
69,1179915.415523343,1857133.6761266873,2001-02-01,757,2001,2
70,1154799.0756806124,1850564.5073838087,2001-02-01,224,2001,2
71,1169010.3149361743,1850106.2480561812,2001-02-01,821,2001,2
72,1163974.6939294208,1838749.8368157928,2001-02-01,115,2001,2
73,1171110.1595550596,1840388.6295198626,2001-02-01,355,2001,2
74,1153615.4194916761,1832015.3475791754,2001-02-01,78,2001,2
75,1165684.4159703245,1830228.9771308429,2001-02-01,235,2001,2
76,1103795.0892087778,1934035.936059137,2001-02-01,222,2001,2
77,1166380.2824219316,1938460.0065355555,2001-02-01,363,2001,2
1,1164480.3670969477,1946794.6658478852,2001-03-01,735,2001,3
2,1157749.8280517957,1943809.189041452,2001-03-01,478,2001,3
3,1168489.7751756336,1930860.1225962283,2001-03-01,724,2001,3
4,1159860.137089553,1934204.1330181102,2001-03-01,320,2001,3
5,1160936.58458251,1924234.5553939813,2001-03-01,311,2001,3
6,1168519.473651409,1922994.077535171,2001-03-01,677,2001,3
7,1170352.9929011667,1915158.7952642099,2001-03-01,650,2001,3
8,1174825.1205699488,1906782.4280028404,2001-03-01,1503,2001,3
9,1125454.3090479926,1945792.4921583226,2001-03-01,28,2001,3
10,1128312.2524238112,1937657.1844246434,2001-03-01,209,2001,3
11,1137104.9560430117,1935376.9598655892,2001-03-01,158,2001,3
12,1140551.95479361,1940902.8186030814,2001-03-01,52,2001,3
13,1150030.6522368554,1937217.0784950166,2001-03-01,139,2001,3
14,1150621.491422269,1931548.2057546456,2001-03-01,355,2001,3
15,1139277.1379005318,1926353.022610638,2001-03-01,507,2001,3
16,1150144.1735739347,1926265.4662503854,2001-03-01,449,2001,3
17,1127700.6737139402,1923539.8756414857,2001-03-01,203,2001,3
18,1129912.8614435624,1917280.5174140923,2001-03-01,90,2001,3
19,1138769.8261094554,1916595.390082971,2001-03-01,760,2001,3
20,1147148.2658771966,1915590.506238743,2001-03-01,249,2001,3
